ปี,ปริมาณรวม,ปริมาณปลาทะเล,ปริมาณกุ้งทะเล,ปริมาณปูทะเล,ปริมาณหมึกทะเล,ปริมาณหอยทะเล,ปริมาณสัตว์ทะเลอื่น,ปริมาณปลาน้ำจืด,ปริมาณกุ้งน้ำจืด,ปริมาณสัตว์น้ำจืดอื่น
2541,3523.3,2240.8,350,57.9,188.2,192.4,64.8,421.4,6.2,1.6
2542,3632.4,2250.6,362.5,55.4,174.4,245.4,84.6,449.2,8.9,1.4
2543,3803.7,2225.3,397.8,58.1,177.5,332.7,139.8,460.9,10.1,1.5
2544,3648.4,2231.4,368.9,50.3,165.4,300.9,49.3,464.9,13.6,3.7
2545,3797,2279.8,350.6,42.1,184.8,417.2,29.3,473.2,15.9,4.1
2546,3914,2304.7,415.5,43.6,168.4,413,9.3,525.2,29,5.3
2547,4099.5,2331.8,437.6,42.2,163.5,395.2,1.8,688.3,33.2,5.9
2548,4118.6,2292.5,482.8,37.9,159.4,371.1,36.7,699.6,33.2,5.4
2549,4053.1,2064.7,570.1,47.4,147.5,342.1,139.9,697.7,31,12.7
2550,3675.4,1837.9,586.6,35.1,131.8,324.9,8.4,708.6,35.6,6.5
2551,3204.2,1292.9,560.6,30.5,113,306.1,150,710.3,36.4,4.4
2552,3287.3,1344.1,629.9,31.6,110.5,324.3,118.2,695.5,27.8,5.4
2553,3062.6,1345,614,31.8,127,201.6,37.3,676.9,23.3,5.7
2554,3036.5,1292.6,660,36,128.4,204.9,105.5,581.5,22.1,5.5
2555,2991.6,1260.5,655.2,40.5,119.9,200.1,41.7,648.6,19.9,5.2
2556,2822.1,1296.4,366.7,31.3,117,236.9,127.7,621.4,19.7,5
2557,2567.8,1254.3,320.3,28.4,100.9,201.8,65.2,574.6,18,4.3
2558,2421.6,1093.9,326.4,26.9,91,211.2,76.6,572.9,17.4,5.3
2559,2413.9,1086.8,378.8,36.1,109,168.7,64,545.9,22.2,2.4
2560,2381.7,1072.2,396.2,35.9,98.1,118.4,61.1,570.5,23,6.3
2561,2458.7,1156.8,427.2,34,111.2,101.8,58,531,34,4.7
2562,2490.6,1203.7,462,52.6,98.3,122,8.6,504.2,34.4,4.8
2563,2600.6,1250.2,437.4,47.3,99.7,147.1,47.5,524.4,43.2,3.8
2564,2402.9,1108,441.8,49,92.3,116.6,31.9,513.9,45.4,4
2565,2386.7,1108.2,444.2,51.4,96.5,103.8,9.9,522.5,46.8,3.4
2566,2467.3,1192.8,445.1,52.5,86,106.9,9.4,527.3,43.5,3.8
