ปี,มูลค่ารวม,มูลค่าปลาทะเล,มูลค่ากุ้งทะเล,มูลค่าปูทะเล,มูลค่าหมึกทะเล,มูลค่าหอยทะเล,มูลค่าสัตว์ทะเลอื่น,มูลค่าปลาน้ำจืด,มูลค่ากุ้งน้ำจืด,มูลค่าสัตว์น้ำจืดอื่น
2541,124622.5,28876.4,66651.8,2309.2,10037.9,1991.1,116.8,13781.9,704.2,153.2
2542,134151.3,29113.3,74840.9,2622.2,9001.5,3241.4,157.5,13890.4,1135.8,148.3
2543,157399.3,28188.5,98961.3,3074,9468.9,2169.5,79.2,14096,1232.9,129
2544,138619.6,32305.4,74973.4,2920.1,9150.1,2898,43.4,14393.7,1617.3,318.2
2545,132291.1,36464.5,62487.4,2832.5,10645.8,2561.6,21.3,15028.1,1799.7,450.2
2546,131942.2,41138.8,54597.6,3231.7,10074,2625.1,19.7,16780.8,2995,479.5
2547,137800.1,41032.7,54356.5,3321.5,9701.8,2630.7,7.8,22433.9,3839.8,475.4
2548,141026.1,42326.1,56109.6,2609,9781.8,2049.7,134.5,23617.7,3952.8,444.9
2549,146967.3,41565.2,60920.4,3871.2,9212.6,2501.1,266.2,23619.2,4126.2,885.2
2550,138331.3,36699.8,56787.9,3223.4,8796.5,2428.2,40.9,25458.1,4307.2,589.3
2551,129308.2,26184.1,58165.2,2926,7484.8,2420.2,112,26780.6,4404.9,830.4
2552,141735.5,27641.5,67790.8,3083.7,7488.6,3247.3,73.1,28011.9,3706.2,692.4
2553,143248.9,29947.4,65312,3190.9,9073.3,2536.6,65.8,28766.9,3641.2,714.8
2554,162738.1,32198.6,81620.1,3797,10410,2904,123.5,26611.9,4347.4,725.6
2555,174393.2,35659.8,82353.9,4792,11503.9,3704.3,114.4,31140.3,4379.6,745
2556,158568.6,37566.4,63894.9,4029.9,11461.7,4209.4,381.9,31472.8,4876.4,675.2
2557,145413.9,36093.6,56771.4,4058.6,9563.4,3778.6,190.5,29844.6,4532.8,580.4
2558,140747.5,34841.5,51634.8,4240.7,9242.4,5295.6,276.1,30164.9,4406.1,645.4
2559,153338.5,33611.7,61756.6,5948.8,11709.5,6006.7,311.2,28729.9,5062.7,201.4
2560,159840.9,37364.2,67018.1,5707.3,11727.2,5222,537.7,26634.6,5317.7,312.1
2561,168773.9,38720.5,66019,6777.3,15265.7,6835.9,295.5,26110.7,8423.3,326
2562,172285.4,40189.1,68280.5,10019.6,12399.9,8340.1,81.3,25272.1,7389.3,313.5
2563,166338.8,38686,63764.5,9893.8,13314.5,6122.8,231.7,25980.9,8100.1,244.5
2564,166819.7,38988.5,63947.9,9145.7,14851.4,5657.8,217.4,25747.8,8005.9,257.3
2565,176403.1,40518,68479.3,9508.2,16912.2,5127.9,338.8,26291.8,9002.4,224.5
2566,175157.7,44301.4,62720.1,10946.8,15408.7,6065.5,320.8,26835.3,8323.9,235.2
